[rank1]:[W723 22:00:49.802009433 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W723 22:00:49.857492411 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[clip_pretrained] loaded 305 tensors from model/ViT-B-16.pt
[clip_pretrained] missing total=282 (visual2*/decoder*/classification* expected = 282; backbone gaps must be 0 -> 0 [])
[clip_pretrained] unexpected (ignored) = 3 ['input_resolution', 'context_length', 'vocab_size']
epoch=1 step=2760/29520 loss=61.7607 Le=0.3970 Lc=1.6618 Ld=5.4442 lr=9.916e-06 peak_mem=25.49GiB
epoch=1 step=2780/29520 loss=74.7328 Le=0.5190 Lc=1.7479 Ld=5.3530 lr=9.914e-06 peak_mem=25.49GiB
epoch=1 step=2800/29520 loss=56.8724 Le=0.3416 Lc=1.7480 Ld=5.2315 lr=9.912e-06 peak_mem=25.49GiB
epoch=1 step=2820/29520 loss=47.8662 Le=0.2538 Lc=1.7358 Ld=5.1293 lr=9.910e-06 peak_mem=25.49GiB
epoch=1 step=2840/29520 loss=58.1724 Le=0.3461 Lc=1.8356 Ld=5.2037 lr=9.908e-06 peak_mem=25.49GiB
epoch=1 step=2860/29520 loss=52.2304 Le=0.2878 Lc=1.8189 Ld=5.2633 lr=9.906e-06 peak_mem=25.49GiB
epoch=1 step=2880/29520 loss=58.9491 Le=0.3430 Lc=1.9349 Ld=5.2964 lr=9.904e-06 peak_mem=25.49GiB
epoch=1 step=2900/29520 loss=59.9369 Le=0.3709 Lc=1.7483 Ld=5.3671 lr=9.902e-06 peak_mem=25.49GiB
epoch=1 step=2920/29520 loss=64.2435 Le=0.4106 Lc=1.7990 Ld=5.1972 lr=9.900e-06 peak_mem=25.49GiB
epoch=1 step=2940/29520 loss=49.9098 Le=0.2679 Lc=1.7868 Ld=5.2522 lr=9.898e-06 peak_mem=25.49GiB
epoch=1 checkpoints saved
epoch=2 step=2960/29520 loss=54.0818 Le=0.3168 Lc=1.7216 Ld=5.1846 lr=9.896e-06 peak_mem=25.49GiB
epoch=2 step=2980/29520 loss=56.9050 Le=0.3367 Lc=1.8030 Ld=5.2034 lr=9.893e-06 peak_mem=25.49GiB
epoch=2 step=3000/29520 loss=68.7126 Le=0.4594 Lc=1.7627 Ld=5.1507 lr=9.891e-06 peak_mem=25.49GiB
epoch=2 step=3020/29520 loss=52.9480 Le=0.3093 Lc=1.6737 Ld=5.2823 lr=9.889e-06 peak_mem=25.49GiB
epoch=2 step=3040/29520 loss=62.4621 Le=0.3964 Lc=1.7547 Ld=5.2739 lr=9.887e-06 peak_mem=25.49GiB
epoch=2 step=3060/29520 loss=61.8737 Le=0.3913 Lc=1.7420 Ld=5.3261 lr=9.885e-06 peak_mem=25.49GiB
epoch=2 step=3080/29520 loss=64.6599 Le=0.3982 Lc=1.9724 Ld=5.1141 lr=9.882e-06 peak_mem=25.49GiB
epoch=2 step=3100/29520 loss=72.0766 Le=0.4690 Lc=1.9910 Ld=5.2713 lr=9.880e-06 peak_mem=25.49GiB
epoch=2 step=3120/29520 loss=40.4890 Le=0.1717 Lc=1.8170 Ld=5.1535 lr=9.878e-06 peak_mem=25.49GiB
epoch=2 step=3140/29520 loss=69.8380 Le=0.4758 Lc=1.7347 Ld=4.9136 lr=9.876e-06 peak_mem=25.49GiB
epoch=2 step=3160/29520 loss=52.5960 Le=0.2788 Lc=1.9620 Ld=5.0999 lr=9.873e-06 peak_mem=25.49GiB
epoch=2 step=3180/29520 loss=40.8866 Le=0.1970 Lc=1.6220 Ld=4.9647 lr=9.871e-06 peak_mem=25.49GiB
epoch=2 step=3200/29520 loss=60.8903 Le=0.3929 Lc=1.6741 Ld=4.8631 lr=9.869e-06 peak_mem=25.49GiB
epoch=2 step=3220/29520 loss=64.9266 Le=0.4055 Lc=1.9478 Ld=4.9032 lr=9.866e-06 peak_mem=25.49GiB
epoch=2 step=3240/29520 loss=53.9002 Le=0.3162 Lc=1.7038 Ld=5.2379 lr=9.864e-06 peak_mem=25.49GiB
epoch=2 step=3260/29520 loss=67.7879 Le=0.4572 Lc=1.7212 Ld=4.8523 lr=9.861e-06 peak_mem=25.49GiB
epoch=2 step=3280/29520 loss=54.8925 Le=0.3198 Lc=1.7807 Ld=5.1058 lr=9.859e-06 peak_mem=25.49GiB
epoch=2 step=3300/29520 loss=45.1761 Le=0.2127 Lc=1.8730 Ld=5.1730 lr=9.856e-06 peak_mem=25.49GiB
epoch=2 step=3320/29520 loss=45.3107 Le=0.2262 Lc=1.7583 Ld=5.1047 lr=9.854e-06 peak_mem=25.49GiB
